tweet_id,created_at,coordinates
1053304301043531779,2018-10-19 15:18:09,"{'type': 'Point', 'coordinates': [6.96094, 50.9374]}"
1053260490716127232,2018-10-19 12:24:04,"{'type': 'Point', 'coordinates': [6.961, 50.9374]}"
1053260464854056960,2018-10-19 12:23:58,
1053260463704866821,2018-10-19 12:23:57,
1053260462408851457,2018-10-19 12:23:57,
1053260460773072896,2018-10-19 12:23:57,
1053245173147336709,2018-10-19 11:23:12,"{'type': 'Point', 'coordinates': [6.96059, 50.9391]}"
1053245147335610368,2018-10-19 11:23:06,
1053216191865671680,2018-10-19 09:28:02,
1052964785439068161,2018-10-18 16:49:02,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052962014903980032,2018-10-18 16:38:02,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052961757134753792,2018-10-18 16:37:00,
1052961552557592576,2018-10-18 16:36:11,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052954987410673669,2018-10-18 16:10:06,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052954946323263489,2018-10-18 16:09:56,
1052954728454389761,2018-10-18 16:09:04,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052954715284234240,2018-10-18 16:09:01,
1052954202207645697,2018-10-18 16:06:59,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052950728933867520,2018-10-18 15:53:11,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052950461198811136,2018-10-18 15:52:07,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052950416806342656,2018-10-18 15:51:56,
1052948756927275008,2018-10-18 15:45:21,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052948739198001158,2018-10-18 15:45:16,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052946944832622592,2018-10-18 15:38:09,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052946440903938048,2018-10-18 15:36:08,"{'type': 'Point', 'coordinates': [6.77335, 51.2279]}"
1052946396473634822,2018-10-18 15:35:58,
1052908170912428037,2018-10-18 13:04:04,"{'type': 'Point', 'coordinates': [6.77342, 51.227]}"
1052908131704066049,2018-10-18 13:03:55,
1052893041726504961,2018-10-18 12:03:57,
1052844243159576576,2018-10-18 08:50:03,"{'type': 'Point', 'coordinates': [6.77231, 51.2251]}"
1052844208019652608,2018-10-18 08:49:54,
1052629380260872192,2018-10-17 18:36:15,"{'type': 'Point', 'coordinates': [6.78557, 51.2215]}"
1052621983744217088,2018-10-17 18:06:52,"{'type': 'Point', 'coordinates': [6.78557, 51.2215]}"
1052621968556605440,2018-10-17 18:06:48,
1052621967206113280,2018-10-17 18:06:48,
1052551005387280384,2018-10-17 13:24:49,
1052550997363568640,2018-10-17 13:24:47,
1052550994712760321,2018-10-17 13:24:47,
1052544456291958784,2018-10-17 12:58:48,"{'type': 'Point', 'coordinates': [4.66435, 50.9504]}"
1052543961548644352,2018-10-17 12:56:50,"{'type': 'Point', 'coordinates': [4.66435, 50.9504]}"
1052543954007265280,2018-10-17 12:56:48,"{'type': 'Point', 'coordinates': [4.66435, 50.9504]}"
1052529355484798977,2018-10-17 11:58:48,"{'type': 'Point', 'coordinates': [4.66435, 50.9504]}"
1052529123644661760,2018-10-17 11:57:52,"{'type': 'Point', 'coordinates': [4.66435, 50.9504]}"
1052529112760365056,2018-10-17 11:57:50,
1052528847458062336,2018-10-17 11:56:46,
1052528846468251650,2018-10-17 11:56:46,"{'type': 'Point', 'coordinates': [4.66435, 50.9504]}"
1052495628180312064,2018-10-17 09:44:46,
1052493373255372806,2018-10-17 09:35:49,
1052488074389835777,2018-10-17 09:14:45,
1052486826945056768,2018-10-17 09:09:48,
1052486566499799041,2018-10-17 09:08:46,
1052486564666732544,2018-10-17 09:08:45,
1052481795411902464,2018-10-17 08:49:48,"{'type': 'Point', 'coordinates': [4.34191, 50.8528]}"
1052480774178529280,2018-10-17 08:45:45,"{'type': 'Point', 'coordinates': [4.34191, 50.8528]}"
1052480771628441600,2018-10-17 08:45:44,
1052479767344308224,2018-10-17 08:41:45,"{'type': 'Point', 'coordinates': [4.34191, 50.8528]}"
1052479766346047488,2018-10-17 08:41:45,
1052475237693095937,2018-10-17 08:23:45,"{'type': 'Point', 'coordinates': [4.34191, 50.8528]}"
1052472974828285952,2018-10-17 08:14:45,"{'type': 'Point', 'coordinates': [4.34191, 50.8528]}"
1052468959403040769,2018-10-17 07:58:48,"{'type': 'Point', 'coordinates': [4.34191, 50.8528]}"
1052465179072577536,2018-10-17 07:43:47,"{'type': 'Point', 'coordinates': [4.34191, 50.8528]}"
1052465165013258240,2018-10-17 07:43:43,
1052465163855687680,2018-10-17 07:43:43,
1052274187979624448,2018-10-16 19:04:51,"{'type': 'Point', 'coordinates': [3.72164, 51.0532]}"
1052263886794182657,2018-10-16 18:23:55,
1052263883812032512,2018-10-16 18:23:54,"{'type': 'Point', 'coordinates': [3.72164, 51.0532]}"
1052251061480812544,2018-10-16 17:32:57,"{'type': 'Point', 'coordinates': [3.72725, 51.0561]}"
1052251038508552193,2018-10-16 17:32:52,
1052245743933767682,2018-10-16 17:11:49,"{'type': 'Point', 'coordinates': [3.72725, 51.0561]}"
1052240718889177089,2018-10-16 16:51:51,
1052240715256877056,2018-10-16 16:51:50,"{'type': 'Point', 'coordinates': [3.72725, 51.0561]}"
1052220320751472640,2018-10-16 15:30:48,"{'type': 'Point', 'coordinates': [3.72206, 51.056]}"
1052194395426975744,2018-10-16 13:47:47,"{'type': 'Point', 'coordinates': [3.73021, 51.0576]}"
1052182818388889601,2018-10-16 13:01:47,"{'type': 'Point', 'coordinates': [3.73021, 51.0576]}"
1052182814148448256,2018-10-16 13:01:46,
1052175767445094400,2018-10-16 12:33:46,"{'type': 'Point', 'coordinates': [3.73021, 51.0576]}"
1052163703079129089,2018-10-16 11:45:49,"{'type': 'Point', 'coordinates': [3.73021, 51.0576]}"
1052163697228083201,2018-10-16 11:45:48,
1052163694178828289,2018-10-16 11:45:47,"{'type': 'Point', 'coordinates': [3.73021, 51.0576]}"
1052162937773809666,2018-10-16 11:42:47,"{'type': 'Point', 'coordinates': [3.73021, 51.0576]}"
1052150879086944256,2018-10-16 10:54:52,
1052150609506422784,2018-10-16 10:53:47,
1052143567144136704,2018-10-16 10:25:48,
1052142558837702656,2018-10-16 10:21:48,
1052141798125133825,2018-10-16 10:18:47,
1052141792131452930,2018-10-16 10:18:45,
1052141789937889280,2018-10-16 10:18:45,
1052140031484338176,2018-10-16 10:11:45,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052139797349847041,2018-10-16 10:10:50,
1052134012540530688,2018-10-16 09:47:50,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052129470637854720,2018-10-16 09:29:48,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052127195991281664,2018-10-16 09:20:45,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052124176818077696,2018-10-16 09:08:45,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052124173294809088,2018-10-16 09:08:45,
1052122161564004352,2018-10-16 09:00:45,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052122144530989057,2018-10-16 09:00:41,
1052122143306276864,2018-10-16 09:00:41,
1052113849384665089,2018-10-16 08:27:43,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052105560638857216,2018-10-16 07:54:47,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052103050129809409,2018-10-16 07:44:48,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052102792150769664,2018-10-16 07:43:47,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052102782247948288,2018-10-16 07:43:45,
1052100767857999872,2018-10-16 07:35:44,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1052100758622138369,2018-10-16 07:35:42,
1052100756994551809,2018-10-16 07:35:42,
1052100278596579328,2018-10-16 07:33:48,"{'type': 'Point', 'coordinates': [4.33545, 50.8415]}"
1051836299831853057,2018-10-15 14:04:50,"{'type': 'Point', 'coordinates': [2.72198, 50.895]}"
1051814145321041920,2018-10-15 12:36:48,
