lng,lat
101.76856668,3.39593
101.45,3.03333
101.317,3.22361
103.367,3.86667
103.367,3.86667
101.383,3.13333
101.45,3.03333
101.44200201,3.08586658
101.383,3.13333
101.383,3.13333
101.45,3.03333
102.56858382,2.0469978
102.567,2.03333
101.45,3.03333
101.45,3.03333
101.46125871,3.10861122
101.62386436,2.9953726
101.6165486,3.12714157
100.333,5.41667
100.31358333,5.43165333
100.33912,5.4159499
100.28631186,5.39629361
100.33314,5.41625
100.33912,5.4159499
101.45,3.03333
101.45,3.03333
101.45,3.03333
101.45,3.03333
101.45,3.03333
101.45,3.03333
101.45,3.03333
101.45,3.03333
101.45,3.03333
101.45,3.03333
101.45,3.03333
101.44259655,3.08714567
101.45,3.03333
101.44259655,3.08714567
101.45,3.03333
101.45,3.03333
101.45,3.03333
103.13249226,5.33200239
103.14846979,5.33311666
103.14907432,5.33322131
103.14847521,5.33189798
103.14817623,5.33302554
103.1489638,5.33200373
103.148208,5.332617
103.14816571,5.33292347
103.14777,5.3333116
103.14833069,5.33293306
143.04944444,-38.64055556
101.41274886,3.07856111
101.41274886,3.07856111
101.42651525,3.07924376
101.43162199,3.07620759
101.43001952,3.07257204
101.42970346,3.07648926
101.43196023,3.06646475
101.44021143,3.07154293
101.44471993,3.041654
101.41274886,3.07856111
101.41274886,3.07856111
101.51011851,2.98418279
101.51001629,2.98446559
101.50867018,2.98403135
101.51743263,3.07485119
101.41274886,3.07856111
101.41274886,3.07856111
101.4404277,3.01992714
101.4394989,3.01945686
101.4395848,3.01937542
101.43957371,3.01945405
101.4404277,3.01992714
101.43949053,3.01949348
101.43950162,3.01947424
101.44597325,3.04043607
143.067,-38.6333
143.067,-38.6333
101.41274886,3.07856111
101.40693,3.0192358
101.41274886,3.07856111
144.84849214,-37.67061458
144.9549215,-37.81364959
144.95274911,-37.81816945
144.95296419,-37.81646275
144.96234785,-37.81584067
144.96234785,-37.81584067
144.96387514,-37.81183389
144.96466569,-37.81156685
144.9636425,-37.8119186
144.964116,-37.811639
144.96406875,-37.81170898
144.96234785,-37.81584067
144.95455585,-37.81386526
144.96234785,-37.81584067
144.96234785,-37.81584067
144.9542117,-37.8134863
144.96234785,-37.81584067
144.95455585,-37.81386526
144.96234785,-37.81584067
